InvoiceNumber,Item,Date,Amount,Tax,Total,Currency
803803,Professional Services,2017-01-01,41664,8332.8,49996.8,CAD
568209,Professional Services,2017-02-15,46833,9366.6,56199.6,USD
919173,Concierge Services,2017-03-12,100501,20100.2,120601,EUR
606782,Professional Services,2017-05-10,92986,18597.2,111583,RON
637414,Concierge Services,2017-06-09,287244,57448.8,344693,USD
451050,Various paper supplies,2017-09-22,292741,58548.2,351289,RON
366073,Waste management services,2017-09-27,146515,29303,175818,RON
442435,Concierge Services,2017-10-14,180326,36065.2,216391,RON
489095,Professional Services,2017-10-14,89629,17925.8,107555,USD
163744,IT Support,2017-11-20,227644,45528.8,273173,EUR
451753,IT Support,2017-12-21,133177,26635.4,159812,USD
