InvoiceNumber,Item,Date,Amount,Tax,Total,Currency
739592,IT Support,2017-01-16,293769,58753.8,352523,CAD
941796,IT Support,2017-01-24,30622,6124.4,36746.4,RON
902146,Beverages and Catering,2017-03-16,258669,51733.8,310403,USD
853041,IT Support,2017-05-01,267804,53560.8,321365,USD
589660,Beverages and Catering,2017-05-08,139730,27946,167676,CAD
358320,Waste management services,2017-08-22,46647,9329.4,55976.4,CAD
828004,Waste management services,2017-09-14,175920,35184,211104,EUR
391135,Waste management services,2017-10-24,70831,14166.2,84997.2,CAD
317265,Waste management services,2017-11-09,34748,6949.6,41697.6,CAD
556336,Beverages and Catering,2017-12-28,239549,47909.8,287459,RON
