InvoiceNumber,Item,Amount,Tax,Total,Currency,Date
624239,IT Support,118003,23600.6,141604,EUR,2017-01-22
665784,Beverages and Catering,16457,3291.4,19748.4,EUR,2017-03-13
411502,Various paper supplies,35043,7008.6,42051.6,CAD,2017-04-22
543989,Beverages and Catering,154944,30988.8,185933,RON,2017-04-16
184592,Beverages and Catering,51284,10256.8,61540.8,EUR,2017-05-11
233627,IT Support,254241,50848.2,305089,USD,2017-06-25
191654,Various paper supplies,15982,3196.4,19178.4,USD,2017-08-08
364387,Professional Services,72515,14503,87018,RON,2017-08-05
765934,Professional Services,284426,56885.2,341311,CAD,2017-08-06
546038,Waste management services,249008,49801.6,298810,USD,2017-09-25
685464,Concierge Services,227140,45428,272568,CAD,2017-10-14
